NestID,FemaleID,Female,Year,MaleID,IbuttonFile,Jdate,IncubateDay,Sunrise.Seconds,StartTime,EndTime,MidTime,Length,ClosestHourMid(sec),Length.Minute,OnOrOff,FirstOff,StartTemp,EndTemp,MidTemp,TempRow,Ambient,AmbientNL,AmbientDH,Clutch Size,Sampled
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,51540,53220,52380,1680,54000,28,On,No,24,25.5,24.75,52,20.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,53220,53940,53580,720,54000,12,Off,No,25.5,23.5,24.5,52,20.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,53940,55380,54660,1440,54000,24,On,No,23.5,26,24.75,52,20.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,55380,56100,55740,720,54000,12,Off,No,26,23.5,24.75,52,20.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,56100,57180,56640,1080,57600,18,On,No,23.5,25,24.25,52,19.9,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,57180,57780,57480,600,57600,10,Off,No,25,23,24,52,19.9,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,57780,59340,58560,1560,57600,26,On,No,23,26,24.5,52,19.9,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,59340,60180,59760,840,61200,14,Off,No,26,22,24,52,19.2,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,60180,61620,60900,1440,61200,24,On,No,22,24,23,52,19.2,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,61620,62340,61980,720,61200,12,Off,No,24,21.5,22.75,52,19.2,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,62340,63660,63000,1320,64800,22,On,No,21.5,24.5,23,52,18.8,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,63660,64380,64020,720,64800,12,Off,No,24.5,21,22.75,52,18.8,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,64380,66060,65220,1680,64800,28,On,No,21,24,22.5,52,18.8,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,66060,66780,66420,720,64800,12,Off,No,24,21.5,22.75,52,18.8,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,66780,68220,67500,1440,68400,24,On,No,21.5,25,23.25,52,18.1,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,68220,68580,68400,360,68400,6,Off,No,25,22.5,23.75,52,18.1,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,18540,19260,18900,720,18000,12,Off,Yes - On All Night,21.5,19,20.25,57,17.7,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,19260,22380,20820,3120,21600,52,On,No,19,21,20,57,16.8,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,22380,22860,22620,480,21600,8,Off,No,21,18.5,19.75,57,16.8,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,22860,25260,24060,2400,25200,40,On,No,18.5,22,20.25,57,17.6,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,25260,25860,25560,600,25200,10,Off,No,22,19.5,20.75,57,17.6,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,25860,28380,27120,2520,28800,42,On,No,19.5,23.5,21.5,57,18.9,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,28380,28860,28620,480,28800,8,Off,No,23.5,22,22.75,57,18.9,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,31740,33180,32460,1440,32400,24,On,No,23,24.5,23.75,57,18.4,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,33180,33780,33480,600,32400,10,Off,No,24.5,21.5,23,57,18.4,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,33780,34700,34240,920,36000,15.3,On,No,21.5,24,22.75,57,19,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,38340,39180,38760,840,39600,14,Off,No,25,23,24,57,20.6,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,39180,41220,40200,2040,39600,34,On,No,23,25.5,24.25,57,20.6,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,41220,41940,41580,720,43200,12,Off,No,25.5,23.5,24.5,57,21,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,41940,43860,42900,1920,43200,32,On,No,23.5,24.5,24,57,21,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,43860,44340,44100,480,43200,8,Off,No,24.5,23,23.75,57,21,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,44340,46500,45420,2160,46800,36,On,No,23,24,23.5,57,20.9,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,46500,46980,46740,480,46800,8,Off,No,24,23,23.5,57,20.9,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,46980,48900,47940,1920,46800,32,On,No,23,25,24,57,20.9,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,48900,49620,49260,720,50400,12,Off,No,25,22,23.5,57,20.6,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,49620,51420,50520,1800,50400,30,On,No,22,24,23,57,20.6,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,51420,52020,51720,600,50400,10,Off,No,24,22,23,57,20.6,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,52020,53820,52920,1800,54000,30,On,No,22,24.5,23.25,57,20.4,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,53820,54420,54120,600,54000,10,Off,No,24.5,22,23.25,57,20.4,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,54420,56700,55560,2280,54000,38,On,No,22,23.5,22.75,57,20.4,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,56700,57420,57060,720,57600,12,Off,No,23.5,21,22.25,57,19.4,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,57420,58980,58200,1560,57600,26,On,No,21,22.5,21.75,57,19.4,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,58980,59580,59280,600,57600,10,Off,No,22.5,20.5,21.5,57,19.4,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,59580,61500,60540,1920,61200,32,On,No,20.5,23,21.75,57,20.5,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,61500,62100,61800,600,61200,10,Off,No,23,20.5,21.75,57,20.5,15.5,21,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Late,180,11,16980,62100,64140,63120,2040,64800,34,On,No,20.5,23,21.75,57,19.3,15.5,21,4,4
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Early,156,4,16920,45780,49740,47760,3960,46800,66,On,No,19,21,20,33,19.6,9.4,21.8,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Early,156,4,16920,49740,50580,50160,840,50400,14,Off,No,21,20,20.5,33,19.9,9.4,21.8,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Early,156,4,16920,50580,53820,52200,3240,54000,54,On,No,20,20.5,20.25,33,18.5,9.4,21.8,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Early,156,4,16920,53820,54900,54360,1080,54000,18,Off,No,20.5,19,19.75,33,18.5,9.4,21.8,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Early,156,4,16920,54900,58380,56640,3480,57600,58,On,No,19,20.5,19.75,33,18.7,9.4,21.8,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Early,156,4,16920,58380,59460,58920,1080,57600,18,Off,No,20.5,19.5,20,33,18.7,9.4,21.8,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Early,156,4,16920,59460,62700,61080,3240,61200,54,On,No,19.5,20.5,20,33,18.1,9.4,21.8,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Early,156,4,16920,62700,64020,63360,1320,64800,22,Off,No,20.5,19.5,20,33,18.7,9.4,21.8,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Early,156,4,16920,64020,66540,65280,2520,64800,42,On,No,19.5,21,20.25,33,18.7,9.4,21.8,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,22080,23280,22680,1200,21600,20,Off,Yes - On All Night,22,20.5,21.25,38,18.6,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,23280,27480,25380,4200,25200,70,On,No,20.5,23,21.75,38,19,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,27480,28680,28080,1200,28800,20,Off,No,23,20.5,21.75,38,19.2,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,28680,32280,30480,3600,28800,60,On,No,20.5,23,21.75,38,19.2,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,32280,36840,34560,4560,36000,76,Off,No,23,19.5,21.25,38,20.7,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,36840,37560,37200,720,36000,12,On,No,19.5,21,20.25,38,20.7,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,37560,39000,38280,1440,39600,24,Off,No,21,20,20.5,38,20.8,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,39000,41040,40020,2040,39600,34,On,No,20,23.5,21.75,38,20.8,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,41040,42240,41640,1200,43200,20,Off,No,23.5,21.5,22.5,38,20.4,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,42240,45240,43740,3000,43200,50,On,No,21.5,23.5,22.5,38,20.4,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,45240,46560,45900,1320,46800,22,Off,No,23.5,21.5,22.5,38,21.8,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,46560,49920,48240,3360,46800,56,On,No,21.5,26,23.75,38,21.8,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,49920,51120,50520,1200,50400,20,Off,No,26,24.5,25.25,38,24.1,16.9,24.1,5,5
2011-10,W.WR,F2011W.WR,2011,2011.IL,xIL-1 Late,161,9,16800,51120,54960,53040,3840,54000,64,On,No,24.5,25,24.75,38,23.4,16.9,24.1,5,5
